,Unnamed: 0,分行別,分行代碼,分行地址,分行縣市,裁撤備註,代收付處收現記號,調度中心,優先預測分行,優先預測原因,座標,x,y
89,89,龍江分行,148,台北市中山區龍江路407、409、411號1樓,台北市,,,,,,"('25.066128', '121.541036')",25.066128,121.541036
90,90,樹林分行,149,新北市樹林區中山路1段288、290號1樓及288號2樓,新北市,,,,,,"('24.98679', '121.420481')",24.98679,121.420481
91,91,五股分行,150,新北市五股區工商路82號2樓之1及84號1樓,新北市,,,,,,"('25.08514', '121.438173')",25.08514,121.438173
92,92,松德分行,153,台北市信義區松德路132號,台北市,,,,,,"('25.037295', '121.57428')",25.037295,121.57428
93,93,東湖分行,154,台北市內湖區東湖路23號1、2樓及25號2樓,台北市,,,,,,"('25.068977', '121.613022')",25.068977,121.613022
94,94,華江分行,155,新北市板橋區新海路82、84號1、2樓及80號2樓,新北市,,,,,,"('25.02198', '121.46178')",25.02198,121.46178
95,95,北三重分行,156,新北市三重區自強路4段83、85號1、2樓,新北市,,,,,,"('25.079199', '121.491023')",25.079199,121.491023
96,96,蘭雅分行,157,臺北市士林區德行東路183、185號1、2樓,臺北市,,,,,,"('25.108927', '121.531289')",25.108927,121.531289
97,97,德惠分行,158,台北市中山區德惠街16號之5,台北市,,,,,,"('25.066635', '121.524001')",25.066635,121.524001
98,98,迴龍分行,159,新北市樹林區三俊街59號1、2樓及61號1、2樓,新北市,,,,,,"('25.015806', '121.413302')",25.015806,121.413302
99,99,仁愛分行,160,台北市大安區仁愛路4段316號之1、316號之2及316號之1地下,台北市,,,,,,"('25.037532', '121.555255')",25.037532,121.555255
100,100,和平分行,162,台北市大安區和平東路3段260號1樓、262號1-2樓,台北市,,,,,,"('25.021377', '121.555482')",25.021377,121.555482
101,101,重新分行,164,新北市三重區重新路5段527號1、2、3樓及529號1、2、3樓,新北市,,,,,,"('25.046359', '121.471052')",25.046359,121.471052
102,102,中興分行,165,新北市三重區新興路44號1、2樓,新北市,,,,,,"('25.05359454', '121.49147454')",25.05359454,121.49147454
103,103,海山分行,166,新北市土城區金城路三段200之12號1、2樓及200之11號2樓,新北市,,,,,,"('24.988077', '121.468662')",24.988077,121.468662
104,104,南蘆洲分行,169,新北市蘆洲區長安街203號1、2樓及205號2樓,新北市,,,,,,"('25.082119', '121.460049')",25.082119,121.460049
105,105,江子翠分行,170,新北市板橋區雙十路2段6號之10二樓、6號之12一、二樓及大同街2號一、二樓,新北市,,,,,,"('25.025986', '121.476977')",25.025986,121.476977
106,106,民安分行,171,新北市新莊區民安東路47、49、51號1樓及地下1樓，49、51號2樓,新北市,,,,,,"('25.020936', '121.429323')",25.020936,121.429323
107,107,苓雅分行,172,高雄市苓雅區建國一路90號、90之1號1樓，90號2樓,高雄市,,,,,,"('22.631926', '120.33264')",22.631926,120.33264
108,108,林口忠孝分行,173,新北市林口區忠孝路403號1、2樓,新北市,,,,,,"('25.07088904', '121.37018728')",25.07088904,121.37018728
109,109,板橋民族分行,174,新北市板橋區民族路183號1、2樓,新北市,,,,,,"('25.007574', '121.468784')",25.007574,121.468784
110,110,泰山分行,175,新北市泰山區明志路2段416、418、420號1樓、地下1樓及418號地下1樓之1,新北市,,,,,,"('25.044027', '121.424975')",25.044027,121.424975
111,111,花蓮分行,176,花蓮縣花蓮市林森路218之1號1、2、3、4樓,花蓮縣,,,,,,"('23.9809695', '121.6049261')",23.9809695,121.6049261
112,112,南港分行,177,台北市南港區三重路19之12號,台北市,,,,,,"('25.05834', '121.613919')",25.05834,121.613919
113,113,深坑分行,178,新北市深坑區北深路3段156號1、2樓,新北市,,,,,,"('25.00329', '121.602924')",25.00329,121.602924
114,114,南崁分行,179,桃園市蘆竹區中正路310號1、2、3樓及312號3樓,桃園市,,,,,,"('25.047818', '121.292104')",25.047818,121.292104
115,115,北台南分行,180,台南市北區西門路4段480號1、2樓,台南市,,,,,,"('23.016307', '120.210996')",23.016307,120.210996
116,116,西屯分行,181,台中市南屯區文心南路41號1、2樓,台中市,,,,,,"('24.135666', '120.645953')",24.135666,120.645953
117,117,汐止樟樹分行,182,新北市汐止區中興路89號1樓、91號1、2樓,新北市,20191025轉為無現金分行,,,,,"('25.064418', '121.632519')",25.064418,121.632519
118,118,濟南路分行,183,台北市中正區濟南路2段39號1樓、地下1樓,台北市,,,,,,"('25.040848', '121.5299')",25.040848,121.5299
119,119,南桃園分行,185,桃園市桃園區中山路839、841、843號1、2樓,桃園市,,,,,,"('24.98932', '121.287932')",24.98932,121.287932
120,120,竹科分行,186,新竹市東區光復路1段472號1樓,新竹市,,,,,,"('24.785234', '121.012867')",24.785234,121.012867
121,121,員林分行,187,彰化縣員林市中山路二段51號,彰化縣,,,,,,"('23.9606598', '120.5705042')",23.9606598,120.5705042
122,122,楊梅分行,188,桃園市楊梅區永美路373、377號1、2樓及375號1樓,桃園市,,,,,,"('24.916248', '121.181115')",24.916248,121.181115
123,123,內壢分行,189,桃園市中壢區環中東路321及323號1、2樓,桃園市,,,,,,"('24.961809', '121.254718')",24.961809,121.254718
124,124,重慶北路分行,190,台北市大同區重慶北路3段139號1、2樓,台北市,,,,,,"('25.068107', '121.513957')",25.068107,121.513957
125,125,大園分行,192,桃園市大園區中山北路100巷1號、102號1樓及100巷1號2樓,桃園市,,,,,,"('25.066456', '121.197129')",25.066456,121.197129
126,126,竹北光明分行,193,新竹縣竹北市光明六路87之6號1、2、3樓,新竹縣,,Y,,,,"('24.82679', '121.00978')",24.82679,121.00978
127,127,竹圍分行,196,新北市淡水區民族路31之15號1至3樓,新北市,,,,,,"('25.13639843', '121.4614756')",25.13639843,121.4614756
128,128,三和分行,114,新北市三重區重二段18號?,新北市,20190228裁撤,,,,,"('25.06084767', '121.48833415')",25.06084767,121.48833415
129,129,新湖分行,191,台北市瑞光路8號,台北市,20190228裁撤,,,,,"('25.069476', '121.583343')",25.069476,121.583343
130,130,淡水分行,184,新北市淡水區中山北路1段77號1樓,新北市,20180101裁撤,,,,,"('25.17604868', '121.44206142')",25.17604868,121.44206142
131,131,中正簡易型分行,26,台北市中正區羅斯福路二段172號,台北市,20170501裁撤,,,,,"('25.025394', '121.5234')",25.025394,121.5234
