分行別,分行代碼,分行地址,分行縣市,裁撤備註,代收付處收現記號,調度中心,優先預測分行,優先預測原因,座標,lat,lon
金門分行,43,金門縣金城鎮民權路230號1樓及232、236號1、2樓,金門縣,,,,,,"('24.439512', '118.320466')",24.439512,118.320466
興大分行,44,臺中市南區國光路250號,臺中市,,,,,,"('24.122794', '120.67899')",24.122794,120.67899
中崙分行,45,台北市中山區八德路二段306號3樓,台北市,,,,,,"('25.047122', '121.542469')",25.047122,121.542469
西湖分行,46,台北市內湖區瑞光路412號1樓及408號2樓之3,台北市,,,,,,"('25.078183', '121.570365')",25.078183,121.570365
豐原分行,47,台中市豐原區中正路245號1、2樓及245之1號1、2樓,台中市,,,,,,"('24.251515', '120.717141')",24.251515,120.717141
大里分行,48,臺中市大里區東榮路503號1至3樓,臺中市,,,,,,"('24.109025', '120.679183')",24.109025,120.679183
忠孝東路分行,101,台北市大安區忠孝東路4段48號1、2樓,台北市,,,,,,"('25.041415', '121.544855')",25.041415,121.544855
建成分行,103,台北市大同區長安西路43號1、2樓,台北市,,,,,,"('25.050733', '121.518185')",25.050733,121.518185
西門分行,104,台北市萬華區成都路75、77號1樓、67號2樓之5及2樓之6,台北市,,,,,,"('25.042986', '121.505483')",25.042986,121.505483
萬華分行,105,台北市萬華區康定路280-288號1樓,台北市,,,,,,"('25.036971', '121.501355')",25.036971,121.501355
興隆分行,106,台北市文山區興隆路2段49、51、53、55、57及59號1、2樓,台北市,,,,,,"('24.999479', '121.547287')",24.999479,121.547287
南門分行,107,台北市中正區南昌路1段110號1、2樓及地下1樓,台北市,,,,,,"('25.030108', '121.517913')",25.030108,121.517913
長安分行,108,台北市中山區松江路39、41、43、43之1及43之2號,台北市,,,,,,"('25.047655', '121.533136')",25.047655,121.533136
延平分行,109,台北市大同區民生西路286號1樓及地下1樓,台北市,,,,,,"('25.056889', '121.512918')",25.056889,121.512918
北投分行,110,台北市北投區光明路166之4、166之5、166之6號1、2樓,台北市,,,,,,"('25.135254', '121.502804')",25.135254,121.502804
松山分行,111,台北市松山區八德路4段680號1樓、678號地下之1、678號2樓之3,台北市,,,,,,"('25.049881', '121.57656')",25.049881,121.57656
中山分行,112,台北市中山區中山北路2段79號1樓,台北市,,,,,,"('25.05822', '121.523064')",25.05822,121.523064
士林分行,113,台北市士林區承德路4段85號及85號2樓,台北市,,,,,,"('25.083137', '121.523751')",25.083137,121.523751
雙園分行,115,台北市萬華區東園街58、58之1號1、2樓,台北市,,,,,,"('25.026121', '121.496246')",25.026121,121.496246
永和分行,116,新北市永和區永和路2段47、49號1至3樓,新北市,,,,,,"('25.010771', '121.514559')",25.010771,121.514559
板橋分行,117,新北市板橋區府中路23號1至3樓,新北市,,,Y,,,"('25.009221', '121.459213')",25.009221,121.459213
基隆分行,118,基隆市中正區義一路2號1至6樓,基隆市,,,,,,"('25.130891', '121.744378')",25.130891,121.744378
羅東分行,119,宜蘭縣羅東鎮中正路203、205號1樓,宜蘭縣,,,,,,"('24.677824', '121.771768')",24.677824,121.771768
宜蘭分行,120,宜蘭縣宜蘭市中山路3段33、35號1、2樓,宜蘭縣,,,,,,"('24.756134', '121.752154')",24.756134,121.752154
營業部,121,台北市中山區南京東路3段36號1樓,台北市,,,Y,Y,交易量及金額都大,"('25.051815', '121.538218')",25.051815,121.538218
景美分行,122,台北市文山區車前路12號1、2樓及地下1樓,台北市,,,,Y,夜市旁,"('24.991514', '121.540907')",24.991514,121.540907
新莊分行,123,新北市新莊區中正路341號1、2、3樓,新北市,,,,,,"('25.034924', '121.44727')",25.034924,121.44727
汐止分行,125,新北市汐止區大同路2段508及510號1、2、3樓,新北市,,,,,,"('25.073135', '121.665283')",25.073135,121.665283
城中分行,126,台北市中正區博愛路17號1、2樓及地下1樓,台北市,,Y,,,,"('25.045698', '121.511434')",25.045698,121.511434
光復分行,127,新北市中和區連城路246之2、246之3及246之4號1至2樓,新北市,,,,,,"('24.996368', '121.488323')",24.996368,121.488323
正義分行,128,新北市三重區正義北路343、345、347號1、2樓,新北市,,,,,,"('25.07174', '121.493469')",25.07174,121.493469
中和分行,129,新北市永和區中正路51、53、55號1、2樓,新北市,,,,,,"('24.996402', '121.514553')",24.996402,121.514553
士東分行,131,台北市士林區中山北路6段421號地下1樓、423、425、425之1號2樓,台北市,,,,,,"('25.113768', '121.526843')",25.113768,121.526843
中港分行,132,新北市新莊區中港路399、401、403、405、407號1樓,新北市,,,,,,"('25.047092', '121.45186')",25.047092,121.45186
蘆洲分行,133,新北市蘆洲區三民路28號2樓及30號、34號1、2樓,新北市,,,,,,"('25.082727', '121.47583')",25.082727,121.47583
內湖分行,134,台北市內湖區內湖路1段721、723、725號1樓及721、723號2樓,台北市,,,,,,"('25.079222', '121.577778')",25.079222,121.577778
社子分行,135,台北市士林區延平北路6段111號1、2樓及地下1樓,台北市,,,,,,"('25.088521', '121.508237')",25.088521,121.508237
信義分行,136,台北市大安區信義路4段252號、256號2樓之1,台北市,,,,,,"('25.032934', '121.553602')",25.032934,121.553602
永春分行,137,台北市信義區永吉路352號1樓、2樓之3、地下1樓,台北市,,,,,,"('25.045042', '121.576528')",25.045042,121.576528
南三重分行,138,新北市三重區中正北路400號1、2、3樓及402號3樓,新北市,,,,,,"('25.070251', '121.475728')",25.070251,121.475728
積穗分行,139,新北市中和區連城路533號,新北市,,,,,,"('24.994888', '121.480686')",24.994888,121.480686
鶯歌分行,140,新北市鶯歌區建國路212、214號1、2、3樓,新北市,,,,Y,交易量多,"('24.953588', '121.349004')",24.953588,121.349004
新店分行,141,新北市新店區中正路290、292號1樓及290號2樓,新北市,,,,,,"('24.974422', '121.537827')",24.974422,121.537827
西盛分行,143,新北市新莊區後港一路61、63號1、2樓,新北市,,,,,,"('25.026557', '121.426297')",25.026557,121.426297
板橋忠孝分行,144,新北市板橋區重慶路198號1、2樓,新北市,,,,,,"('25.002813', '121.462526')",25.002813,121.462526
思源分行,145,新北市新莊區化成路540號之1及540號之1 二樓之4,新北市,,,,,,"('25.05322229', '121.46639222')",25.05322229,121.4663922
土城分行,146,新北市土城區中央路2段223之5、223之6號1、2樓,新北市,,,,,,"('24.973424', '121.440713')",24.973424,121.440713
三興分行,147,台北市信義區莊敬路294、296、298號1樓，298號2樓,台北市,,,,,,"('25.028523', '121.562987')",25.028523,121.562987
龍江分行,148,台北市中山區龍江路407、409、411號1樓,台北市,,,,,,"('25.066128', '121.541036')",25.066128,121.541036
樹林分行,149,新北市樹林區中山路1段288、290號1樓及288號2樓,新北市,,,,,,"('24.98679', '121.420481')",24.98679,121.420481
五股分行,150,新北市五股區工商路82號2樓之1及84號1樓,新北市,,,,,,"('25.08514', '121.438173')",25.08514,121.438173
松德分行,153,台北市信義區松德路132號,台北市,,,,,,"('25.037295', '121.57428')",25.037295,121.57428
東湖分行,154,台北市內湖區東湖路23號1、2樓及25號2樓,台北市,,,,,,"('25.068977', '121.613022')",25.068977,121.613022
華江分行,155,新北市板橋區新海路82、84號1、2樓及80號2樓,新北市,,,,,,"('25.02198', '121.46178')",25.02198,121.46178
北三重分行,156,新北市三重區自強路4段83、85號1、2樓,新北市,,,,,,"('25.079199', '121.491023')",25.079199,121.491023
蘭雅分行,157,臺北市士林區德行東路183、185號1、2樓,台北市,,,,,,"('25.108927', '121.531289')",25.108927,121.531289
德惠分行,158,台北市中山區德惠街16號之5,台北市,,,,,,"('25.066635', '121.524001')",25.066635,121.524001
迴龍分行,159,新北市樹林區三俊街59號1、2樓及61號1、2樓,新北市,,,,,,"('25.015806', '121.413302')",25.015806,121.413302
仁愛分行,160,台北市大安區仁愛路4段316號之1、316號之2及316號之1地下,台北市,,,,,,"('25.037532', '121.555255')",25.037532,121.555255
和平分行,162,台北市大安區和平東路3段260號1樓、262號1-2樓,台北市,,,,,,"('25.021377', '121.555482')",25.021377,121.555482
重新分行,164,新北市三重區重新路5段527號1、2、3樓及529號1、2、3樓,新北市,,,,,,"('25.046359', '121.471052')",25.046359,121.471052
中興分行,165,新北市三重區新興路44號1、2樓,新北市,,,,,,"('25.05359454', '121.49147454')",25.05359454,121.4914745
海山分行,166,新北市土城區金城路三段200之12號1、2樓及200之11號2樓,新北市,,,,,,"('24.988077', '121.468662')",24.988077,121.468662
南蘆洲分行,169,新北市蘆洲區長安街203號1、2樓及205號2樓,新北市,,,,,,"('25.082119', '121.460049')",25.082119,121.460049
江子翠分行,170,新北市板橋區雙十路2段6號之10二樓、6號之12一、二樓及大同街2號一、二樓,新北市,,,,,,"('25.025986', '121.476977')",25.025986,121.476977
民安分行,171,新北市新莊區民安東路47、49、51號1樓及地下1樓，49、51號2樓,新北市,,,,,,"('25.020936', '121.429323')",25.020936,121.429323
苓雅分行,172,高雄市苓雅區建國一路90號、90之1號1樓，90號2樓,高雄市,,,,,,"('22.631926', '120.33264')",22.631926,120.33264
林口忠孝分行,173,新北市林口區忠孝路403號1、2樓,新北市,,,,,,"('25.07088904', '121.37018728')",25.07088904,121.3701873
板橋民族分行,174,新北市板橋區民族路183號1、2樓,新北市,,,,,,"('25.007574', '121.468784')",25.007574,121.468784
泰山分行,175,新北市泰山區明志路2段416、418、420號1樓、地下1樓及418號地下1樓之1,新北市,,,,,,"('25.044027', '121.424975')",25.044027,121.424975
花蓮分行,176,花蓮縣花蓮市林森路218之1號1、2、3、4樓,花蓮縣,,,,,,"('23.9809695', '121.6049261')",23.9809695,121.6049261
南港分行,177,台北市南港區三重路19之12號,台北市,,,,,,"('25.05834', '121.613919')",25.05834,121.613919
深坑分行,178,新北市深坑區北深路3段156號1、2樓,新北市,,,,,,"('25.00329', '121.602924')",25.00329,121.602924
南崁分行,179,桃園市蘆竹區中正路310號1、2、3樓及312號3樓,桃園市,,,,,,"('25.047818', '121.292104')",25.047818,121.292104
北台南分行,180,台南市北區西門路4段480號1、2樓,台南市,,,,,,"('23.016307', '120.210996')",23.016307,120.210996
西屯分行,181,台中市南屯區文心南路41號1、2樓,台中市,,,,,,"('24.135666', '120.645953')",24.135666,120.645953
汐止樟樹分行,182,新北市汐止區中興路89號1樓、91號1、2樓,新北市,20191025轉為無現金分行,,,,,"('25.064418', '121.632519')",25.064418,121.632519
濟南路分行,183,台北市中正區濟南路2段39號1樓、地下1樓,台北市,,,,,,"('25.040848', '121.5299')",25.040848,121.5299
南桃園分行,185,桃園市桃園區中山路839、841、843號1、2樓,桃園市,,,,,,"('24.98932', '121.287932')",24.98932,121.287932
竹科分行,186,新竹市東區光復路1段472號1樓,新竹市,,,,,,"('24.785234', '121.012867')",24.785234,121.012867
員林分行,187,彰化縣員林市中山路二段51號,彰化縣,,,,,,"('23.9606598', '120.5705042')",23.9606598,120.5705042
楊梅分行,188,桃園市楊梅區永美路373、377號1、2樓及375號1樓,桃園市,,,,,,"('24.916248', '121.181115')",24.916248,121.181115
內壢分行,189,桃園市中壢區環中東路321及323號1、2樓,桃園市,,,,,,"('24.961809', '121.254718')",24.961809,121.254718
重慶北路分行,190,台北市大同區重慶北路3段139號1、2樓,台北市,,,,,,"('25.068107', '121.513957')",25.068107,121.513957
大園分行,192,桃園市大園區中山北路100巷1號、102號1樓及100巷1號2樓,桃園市,,,,,,"('25.066456', '121.197129')",25.066456,121.197129
竹北光明分行,193,新竹縣竹北市光明六路87之6號1、2、3樓,新竹縣,,Y,,,,"('24.82679', '121.00978')",24.82679,121.00978
竹圍分行,196,新北市淡水區民族路31之15號1至3樓,新北市,,,,,,"('25.13639843', '121.4614756')",25.13639843,121.4614756
