,1,2,5,6,9,15,21,33,34,45,46,101,103,104,105,106,107,108,109,110,111,112,113,115,121,122,126,131,134,135,136,137,147,148,153,154,157,158,160,162,177,183,190
1,0.0,2.8065,0.8869,2.7578,0.8383,2.9159,2.3445,1.6245,9.4514,1.5705,5.6126,0.9186,3.3302,4.1283,4.4184,3.7344,2.7471,2.002,4.1674,12.0853,3.6924,3.5494,5.9381,4.9744,2.1786,4.627,3.6562,9.1179,6.0879,7.167000000000001,0.8754,3.4512,1.8922,3.6771,2.9978,7.9363,8.5092,4.271,1.1507,1.6814,7.5013,1.7416,4.9787
2,2.8065,0.0,1.9398,1.8137,3.4322,1.6835,1.3555,3.4210000000000003,6.7891,1.4095,3.0614,1.9083,3.2645,4.7478,5.3939,6.4989,4.4484,2.0176,3.6943,9.7577,2.8782,2.6681,3.7995,6.4379,1.3357,7.4283,4.0805,6.5754,3.6884,5.3556,2.8196,3.0873,3.5489,1.2323,3.4012,6.5207,5.9213,2.7411,2.3525,4.1138,6.4995,2.7517,3.7538
5,0.8869,1.9398,0.0,2.0168,1.5142,2.3639,1.7459,2.0735,8.6608,0.9002,4.7348,0.3168,3.1978,4.2867,4.7134,4.5626,3.2429,1.6777,3.9598,11.4224,3.0686,3.1709,5.2977,5.4548,1.5739,5.4899,3.7204,8.3716,5.2289,6.6412,1.0326,2.931,2.0327,2.9041,2.6899,7.2827,7.7449,3.7529,0.8208,2.2699,6.9453,1.815,4.5783
6,2.7578,1.8137,2.0168,0.0,2.9493,3.3448,2.8299,4.079,8.1224,2.3031,3.1736,2.249,4.7330000000000005,6.0633,6.5894,5.8713,5.2426,3.2335,5.3196,11.347999999999999,1.1584,4.3378,5.5598,7.431,2.7186,6.9168,5.4339,8.0543,3.4874,7.1524,2.2116,1.2763,2.3819,3.0169,1.6805,5.2769,7.37,4.5389,1.6949,3.3091,5.0151,3.6903,5.5371
9,0.8383,3.4322,1.5142,2.9493,0.0,3.7375,3.1512,2.2538,10.1749,2.3414,6.0167,1.6654,4.1409,4.8243,5.0296,3.0755,3.2558,2.8402,4.9874,12.889000000000001,3.6785,4.3876,6.7459,5.4271,2.9818,4.051,4.4026,9.8774,6.4147,8.0004,0.7381,3.3317,1.3192,4.4135,2.6961,7.8691,9.2554,5.1024,1.268,0.8437,7.3178,2.5349,5.8168
15,2.9159,1.6835,2.3639,3.3448,3.7375,0.0,0.6219,2.6248,6.7527,1.4651,4.45,2.1119,1.6376,3.1713,3.8796,6.5403,3.3431,1.04,2.0126,9.1793,4.4801,0.9974,3.0335,5.0384,0.7918,7.3038,2.5009,6.3133,5.155,4.2818,3.3927,4.6022,4.3841,1.3014,4.7172,8.1953,5.7499,1.389,3.1266,4.5626,8.1801,1.8184,2.2676
21,2.3445,1.3555,1.7459,2.8299,3.1512,0.6219,0.0,2.3176,7.1893,0.8458,4.3455,1.5045,1.9418,3.3959,4.039,6.0253,3.2085,0.7322,2.4911,9.7416,3.9825,1.54,3.5956,5.1044,0.1723,6.8318,2.7312,6.8022,5.0093,4.8956,2.7769999999999997,4.0626,3.7624,1.493,4.1263,7.8449,6.2136,2.0091,2.5047,3.9663,7.7578,1.5465,2.8791
33,1.6245,3.4210000000000003,2.0735,4.079,2.2538,2.6248,2.3176,0.0,9.3633,2.0309,6.4739,1.8316,2.1787,2.5754,2.7988,4.2161,1.1701,1.6130000000000002,3.0367,11.5599,5.1408,2.7858,5.5082,3.3935,2.2256,4.8215,2.2078,8.8796,7.0631,6.4263,2.4998,4.9755,3.492,3.8044,4.6034,9.3533,8.3447,3.6887,2.7003,3.0117,9.011000000000001,0.8067,4.1041
34,9.4514,6.7891,8.6608,8.1224,10.1749,6.7527,7.1893,9.3633,0.0,7.8836,5.6678,8.5377,7.6392,8.8247,9.594,13.1835,9.8845,7.7911,7.1241,3.7723,8.6276,6.7276,4.0226,10.9007,7.335,14.0202,8.352,0.9479,6.0838,4.2361,9.604,9.0985,10.3017,5.7743,9.7743,9.5573,1.0702,5.7941,9.1407,10.8968,10.342,8.5585,5.9182
