,7,10,19,27,30,35,116,117,123,125,127,128,129,132,133,138,139,140,141,143,144,145,146,149,150,155,156,159,164,165,166,169,170,171,173,174,175,178,196
7,0,2.7907,6.5353,9.6555,3.2049,1.8839,5.8591,0.8247,2.2734,21.9557,3.8729,7.1639,6.231,3.4429,7.5992,6.2684,3.3831,12.9171,9.4031,3.2834,1.6051,4.1974,5.0253,4.918,7.85,0.7992,7.7705,4.3946,3.6212,5.4081,3.3511,7.2933,2.2964,2.8232,10.6286,1.5486,4.4434,14.8172,13.3071
10,2.7907,0,5.0931,11.8905,5.846,3.897,7.6041,3.6122,0.5286,22.4185,6.4046,5.9541,8.3974,1.0094,5.6376,4.5194,6.0541,13.6748,11.7345,2.4721,4.3954,2.5378,7.3503,6.3984,5.1099,2.5069,6.3027,4.2371,2.6195,4.8268,6.141,4.9144,3.4542,2.6767,8.4154,4.217,2.1956,16.3236,10.8342
19,6.5353,5.0931,0,11.7374,9.5828,5.9487,7.2204,7.1701,5.3699,18.2709,8.1454,0.9569,8.6881,4.1226,1.6633,0.8588,8.3065,18.7627,11.8704,7.558,7.7373,2.5714,11.5445,11.2229,4.9469,5.7617,1.2462,9.3278,2.9176,1.9389,9.1885,2.7947,4.9088,7.746,11.5063,7.0675,6.6256,14.0636,7.7255
27,9.6555,11.8905,11.7374,0,8.9174,8.0233,4.5942,9.1157,11.5109,16.2135,5.8616,11.4881,3.4932,11.9366,13.4006,12.2337,6.5439,19.7701,0.6702,12.9269,8.556,11.3348,10.3322,12.3956,15.8659,9.5105,12.3403,13.7264,10.4594,9.8219,7.5729,14.217,8.495,12.3994,20.2242,8.154,13.9524,6.6611,19.3424
30,3.2049,5.846,9.5828,8.9174,0,3.8356,6.5301,2.446,5.3183,23.2348,3.4917,10.106,6.0786,6.6147,10.7582,9.404,2.7065,11.3554,8.4715,5.2197,1.8573,7.3733,2.1306,3.5009,10.9559,3.8828,10.7886,5.264,6.7197,8.1929,1.366,10.4981,4.8036,4.5336,12.6076,2.6196,6.9678,15.0213,16.5116
35,1.8839,3.897,5.9487,8.0233,3.8356,0,3.9972,1.8404,3.4918,20.1467,2.5975,6.3615,4.5385,4.1264,7.3146,5.9325,2.4719,14.559,7.8438,5.0845,2.0197,4.1491,5.942,6.4667,8.4657,1.5031,7.0988,6.2784,3.3163,4.394,3.2444,7.4129,1.0399,4.6841,12.2055,1.2166,5.9299,12.9483,13.3351
116,5.8591,7.6041,7.2204,4.5942,6.5301,3.9972,0,5.5894,7.2996,16.7057,3.0919,7.0812,1.5917,7.4987,8.8774,7.6661,3.8455,17.8752,4.6616,9.0787,5.3259,6.7635,8.5262,9.8618,11.282,5.4701,7.9434,10.236,5.901,5.2849,5.2714,9.6293,4.1509,8.6769,16.0193,4.6342,9.7632,8.9584,14.9112
117,0.8247,3.6122,7.1701,9.1157,2.446,1.8404,5.5894,0,3.0919,21.968,3.2653,7.7403,5.7641,4.2602,8.3134,6.9629,2.6869,12.7198,8.8232,3.8375,0.7847,4.9277,4.3832,4.6328,8.6737,1.4369,8.3901,4.6913,4.2839,5.896,2.529,8.0756,2.5814,3.2843,11.2863,0.9832,5.1775,14.5218,14.0898
123,2.2734,0.5286,5.3699,11.5109,5.3183,3.4918,7.2996,3.0919,0,22.4023,5.9508,6.1939,8.0207,1.4253,6.0287,4.8539,5.5718,13.4012,11.335,2.3107,3.876,2.7986,6.8446,5.9784,5.6378,2.0495,6.5988,4.0297,2.7138,4.917,5.6207,5.3846,3.1574,2.3837,8.7391,3.7275,2.4656,16.0969,11.3317
